iter	Passed	Remaining
750	3781	1253
751	3786	1248
752	3791	1243
753	3795	1238
754	3800	1233
755	3805	1228
756	3810	1223
757	3814	1217
758	3819	1212
759	3824	1207
760	3829	1202
761	3834	1197
762	3838	1192
763	3843	1187
764	3848	1182
765	3853	1177
766	3858	1171
767	3863	1166
768	3867	1161
769	3872	1156
770	3877	1151
771	3882	1146
772	3886	1141
773	3891	1136
774	3896	1131
775	3901	1126
776	3906	1121
777	3911	1115
778	3915	1110
779	3920	1105
780	3925	1100
781	3929	1095
782	3934	1090
783	3939	1085
784	3944	1080
785	3949	1075
786	3954	1070
787	3959	1065
788	3963	1060
789	3968	1055
790	3973	1049
791	3978	1044
792	3983	1039
793	3987	1034
794	3992	1029
795	3998	1024
796	4004	1020
797	4011	1015
798	4015	1010
799	4020	1005
800	4025	1000
801	4030	995
802	4035	990
803	4040	984
804	4044	979
805	4049	974
806	4054	969
807	4059	964
808	4064	959
809	4068	954
810	4073	949
811	4078	944
812	4083	939
813	4088	934
814	4093	929
815	4098	924
816	4103	919
817	4107	913
818	4112	908
819	4117	903
820	4121	898
821	4126	893
822	4131	888
823	4136	883
824	4140	878
825	4145	873
826	4150	868
827	4155	863
828	4160	858
829	4164	853
830	4169	847
831	4174	842
832	4179	837
833	4183	832
834	4188	827
835	4193	822
836	4198	817
837	4203	812
838	4208	807
839	4213	802
840	4217	797
841	4222	792
842	4227	787
843	4232	782
844	4237	777
845	4241	772
846	4246	767
847	4251	762
848	4256	756
849	4261	751
850	4265	746
851	4270	741
852	4275	736
853	4280	731
854	4285	726
855	4290	721
856	4295	716
857	4300	711
858	4304	706
859	4309	701
860	4314	696
861	4319	691
862	4323	686
863	4328	681
864	4333	676
865	4338	671
866	4343	666
867	4348	661
868	4353	656
869	4358	651
870	4362	646
871	4367	641
872	4372	636
873	4376	630
874	4381	625
875	4386	620
876	4392	616
877	4397	610
878	4401	605
879	4406	600
880	4411	595
881	4416	590
882	4421	585
883	4426	580
884	4431	575
885	4435	570
886	4440	565
887	4445	560
888	4450	555
889	4454	550
890	4459	545
891	4464	540
892	4469	535
893	4474	530
894	4478	525
895	4483	520
896	4489	515
897	4494	510
898	4499	505
899	4503	500
900	4508	495
901	4513	490
902	4518	485
903	4523	480
904	4528	475
905	4533	470
906	4537	465
907	4542	460
908	4547	455
909	4552	450
910	4557	445
911	4562	440
912	4566	435
913	4571	430
914	4575	425
915	4580	420
916	4585	415
917	4590	410
918	4594	404
919	4599	399
920	4604	394
921	4610	390
922	4614	384
923	4619	379
924	4624	374
925	4628	369
926	4633	364
927	4638	359
928	4643	354
929	4648	349
930	4652	344
931	4657	339
932	4662	334
933	4667	329
934	4672	324
935	4676	319
936	4681	314
937	4686	309
938	4691	304
939	4696	299
940	4700	294
941	4705	289
942	4710	284
943	4715	279
944	4720	274
945	4725	269
946	4729	264
947	4734	259
948	4739	254
949	4744	249
950	4749	244
951	4753	239
952	4758	234
953	4763	229
954	4768	224
955	4773	219
956	4778	214
957	4782	209
958	4787	204
959	4792	199
960	4796	194
961	4801	189
962	4806	184
963	4811	179
964	4815	174
965	4820	169
966	4825	164
967	4830	159
968	4834	154
969	4839	149
970	4844	144
971	4849	139
972	4854	134
973	4859	129
974	4863	124
975	4868	119
976	4873	114
977	4878	109
978	4883	104
979	4888	99
980	4892	94
981	4897	89
982	4902	84
983	4907	79
984	4912	74
985	4916	69
986	4921	64
987	4926	59
988	4931	54
989	4935	49
990	4940	44
991	4945	39
992	4950	34
993	4954	29
994	4959	24
995	4964	19
996	4969	14
997	4973	9
998	4978	4
999	4983	0
